#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTC1	MYL2	9606.ENSP00000290378	9606.ENSP00000228841	0	0	0	0	0.262	0.126	0.900	0.888	0.991
ACTC1	TTN	9606.ENSP00000290378	9606.ENSP00000467141	0	0	0	0	0.145	0.092	0	0.802	0.833
ACTC1	CSRP3	9606.ENSP00000290378	9606.ENSP00000431813	0	0	0	0	0.268	0.070	0	0.828	0.873
ACTC1	MYH6	9606.ENSP00000290378	9606.ENSP00000386041	0	0	0	0	0.127	0.252	0.900	0.858	0.989
ACTC1	MYL3	9606.ENSP00000290378	9606.ENSP00000499406	0	0	0	0	0.158	0.150	0.900	0.895	0.991
ACTC1	TNNI3	9606.ENSP00000290378	9606.ENSP00000341838	0	0	0	0	0.106	0.054	0.900	0.937	0.994
ACTC1	MYBPC3	9606.ENSP00000290378	9606.ENSP00000442795	0	0	0	0	0.061	0.945	0	0.918	0.995
ACTC1	TPM1	9606.ENSP00000290378	9606.ENSP00000351022	0	0	0	0	0.169	0.951	0.900	0.952	0.999
ACTC1	MYH7	9606.ENSP00000290378	9606.ENSP00000347507	0	0	0	0	0.199	0.922	0.900	0.934	0.999
ACTC1	TNNT2	9606.ENSP00000290378	9606.ENSP00000499593	0	0	0	0	0.186	0.901	0.900	0.942	0.999
CSRP3	MYL2	9606.ENSP00000431813	9606.ENSP00000228841	0	0	0	0	0.798	0	0	0.792	0.956
CSRP3	ACTC1	9606.ENSP00000431813	9606.ENSP00000290378	0	0	0	0	0.268	0.070	0	0.828	0.873
CSRP3	TNNI3	9606.ENSP00000431813	9606.ENSP00000341838	0	0.045	0	0	0.210	0	0	0.845	0.873
CSRP3	MYH7	9606.ENSP00000431813	9606.ENSP00000347507	0	0	0	0	0.793	0	0	0.831	0.963
CSRP3	TPM1	9606.ENSP00000431813	9606.ENSP00000351022	0	0	0	0	0.147	0	0	0.820	0.840
CSRP3	MYH6	9606.ENSP00000431813	9606.ENSP00000386041	0	0	0	0	0.455	0	0	0.758	0.862
CSRP3	TNNT2	9606.ENSP00000431813	9606.ENSP00000499593	0	0.031	0	0	0.264	0	0	0.825	0.866
CSRP3	MYL3	9606.ENSP00000431813	9606.ENSP00000499406	0	0	0	0	0.544	0	0	0.853	0.930
CSRP3	MYBPC3	9606.ENSP00000431813	9606.ENSP00000442795	0	0	0	0	0.126	0.058	0	0.933	0.940
CSRP3	TTN	9606.ENSP00000431813	9606.ENSP00000467141	0	0	0	0	0.494	0.058	0	0.991	0.995
MYBPC3	MYL2	9606.ENSP00000442795	9606.ENSP00000228841	0	0	0	0	0.116	0.125	0.500	0.892	0.952
MYBPC3	ACTC1	9606.ENSP00000442795	9606.ENSP00000290378	0	0	0	0	0.061	0.945	0	0.918	0.995
MYBPC3	TNNI3	9606.ENSP00000442795	9606.ENSP00000341838	0	0	0	0	0.296	0	0	0.966	0.975
